Full Address,count
"260 HAMILTON AVE, 11231",1
"5080 BROADWAY, 10034",1
"1500 WILLIAMSBRIDGE RD, 10461",1
"1287 CASTLETON AVE, 10310",1
"242 BAY RIDGE AVE, 11220",1
"852 CONEY ISLAND AVE, 11218",1
"1243 E TREMONT AVE, 10460",1
"4472 AMBOY RD, 10312",1
"5205 HYLAN BLVD, 10312",1
"1968 JEROME AVE, 10453",1
"5270 AMBOY RD, 10312",1
"9627 QUEENS BLVD, 11374",1
"902 WESTCHESTER AVE, 10459",1
"245-16 139 AVENUE, 11422",1
"6720 MAIN ST, 11367",1
"24602 S CONDUIT AVE, 11422",1
"3981 HYLAN BLVD, 10308",1
"700 SOUTH AVE, 10303",1
"15 E KINGSBRIDGE RD, 10468",1
"766 SOUTHERN BLVD, 10455",1
"6778 HYLAN BLVD, 10309",1
"3333 E TREMONT AVE, 10461",1
"10017 BEACH CHANNEL DR, 11694",1
"3801 BEACH CHANNEL DR, 11691",1
"1255 EAST GUN HILL ROAD, 10469",1
"4147 THROGS NECK EXPRESSWAY, 10465",1
"327 HAMILTON AVE, 11231",1
"7315 PARSONS BLVD, 11366",1
"13505 LIBERTY AVE, 11419",1
"431 W 16TH ST, 10011",1
"17802 UNION TPKE, 11366",1
"89 SAINT NICHOLAS PL, 10032",1
"970 BLOOMINGDALE RD, 10309",1
"2947 JEROME AVE, 10468",1
"3504 BELL BLVD, 11361",1
"902 SOUNDVIEW AVE, 10473",1
"5808 FLATLANDS AVE, 11234",1
"375 HAMILTON AVE, 11231",1
"760 CASTLE HILL AVE, 10473",1
"6510 QUEENS BLVD, 11377",1
"3228 QUEENS BLVD, 11101",1
"3936 10TH AVE, 10034",1
"6937 AMBOY RD, 10309",1
"10702 GRAND CENTRAL PKWY, 11369",1
"1885 WESTCHESTER AVE, 10472",1
"1810 CROSS BRONX EXPY, 10472",1
"50-02 METROPOLITAN AVENUE, 11385",1
"98 3RD AVE, 11217",1
"21902 HORACE HARDING EXPY, 11364",1
"21801 NORTHERN BLVD, 11361",1
"2253 EMMONS AVE, 11235",1
"10846 MERRICK BLVD, 11433",1
"3701 AMBOY RD, 10308",1
"3904 SKILLMAN AVE, 11104",1
"2150 HYLAN BLVD, 10306",1
"1881 FOREST AVE, 10303",1
"2151 FOREST AVE, 10303",1
"6201 AVENUE U, 11234",1
"6809 QUEENS BLVD, 11377",1
"3003 CONEY ISLAND AVE, 11235",1
"240 PAGE AVE, 10307",1
"3095 AVENUE U, 11229",1
"5092 NORTHERN BLVD, 11101",1
"995 MANOR RD, 10314",1
"2111 HYLAN BLVD, 10306",1
"16615 HORACE HARDING EXPY, 11365",1
"1234 FOREST AVE, 10310",1
"10409 ATLANTIC AVE, 11418",1
"7310 NEW UTRECHT AVE, 11204",1
"1320 RICHMOND TER, 10310",1
"1125 RICHMOND TER, 10310",1
"13545 CROSSBAY BLVD, 11417",1
"4275 AMBOY RD, 10308",1
"1143 ATLANTIC AVE, 11216",1
"597 E 16TH ST, 11226",1
"9403 CORONA AVE, 11373",1
"42 REID AVE, 10305",1
"2358 UNIVERSITY AVE, 10468",1
"1121 PENNSYLVANIA AVE, 11207",1
"4016 NATIONAL ST, 11368",1
"1845 WEBSTER AVE, 10457",1
"8914 DITMAS AVE, 11236",1
"630 ARTHUR KILL RD, 10308",1
"2443 RICHMOND AVE, 10314",1
"13311 ROOSEVELT AVE, 11354",1
"311 E 23RD ST, 10010",1
"25 WATERSIDE PLZ, 10010",1
"70 MAJOR DEEGAN  EXPRESSWAY, 10471",1
"1705 RICHMOND AVE, 10314",1
"7209 MAIN ST, 11367",1
"2590 BAILEY AVE, 10463",1
"2829 EDSON AVENUE, 10469",1
"185 E 79TH ST, 10075",1
"200 5TH AVE, 10010",1
"2317 CONEY ISLAND AVE, 11223",1
"10020 METROPOLITAN AVE, 11375",1
"1810 FOREST AVE, 10303",1
"1650 FOREST AVE, 10302",1
"14615 UNION TURNPIKE, 11367",1
